Level;Category;Code;Property;DataSource;Message;XML file
Information;Category Templates;;;;Category. No data found;D:\Data\Interfaces\TimeScape Configuration\Migration Tools\Data and Templates\XML\20230310\PUBLIC_GOLD\PUBLIC_GOLD_20230310_Category Templates-00001.xml
Information;Data Source Consolidation;;;;Category. No data found;D:\Data\Interfaces\TimeScape Configuration\Migration Tools\Data and Templates\XML\20230310\PUBLIC_GOLD\PUBLIC_GOLD_20230310_Data Source Consolidation-00001.xml
Information;Curve Derived Data;;;;Category. No data found;D:\Data\Interfaces\TimeScape Configuration\Migration Tools\Data and Templates\XML\20230310\PUBLIC_GOLD\PUBLIC_GOLD_20230310_Curve Derived Data-00001.xml
Information;Cube Override Rules;;;;Category. No data found;D:\Data\Interfaces\TimeScape Configuration\Migration Tools\Data and Templates\XML\20230310\PUBLIC_GOLD\PUBLIC_GOLD_20230310_Cube Override Rules-00001.xml
Information;Cube Validation Shared;;;;Category. No data found;D:\Data\Interfaces\TimeScape Configuration\Migration Tools\Data and Templates\XML\20230310\PUBLIC_GOLD\PUBLIC_GOLD_20230310_Cube Validation Shared-00001.xml
Information;Curve Validation Shared;;;;Category. No data found;D:\Data\Interfaces\TimeScape Configuration\Migration Tools\Data and Templates\XML\20230310\PUBLIC_GOLD\PUBLIC_GOLD_20230310_Curve Validation Shared-00001.xml
Information;Export;;;;Category. No data found;D:\Data\Interfaces\TimeScape Configuration\Migration Tools\Data and Templates\XML\20230310\PUBLIC_GOLD\PUBLIC_GOLD_20230310_Export-00001.xml
Information;Curve Validation;;;;Category. No data found;D:\Data\Interfaces\TimeScape Configuration\Migration Tools\Data and Templates\XML\20230310\PUBLIC_GOLD\PUBLIC_GOLD_20230310_Curve Validation-00001.xml
Information;Cube Validation;;;;Category. No data found;D:\Data\Interfaces\TimeScape Configuration\Migration Tools\Data and Templates\XML\20230310\PUBLIC_GOLD\PUBLIC_GOLD_20230310_Cube Validation-00001.xml
Information;Cube Derived Data;;;;Category. No data found;D:\Data\Interfaces\TimeScape Configuration\Migration Tools\Data and Templates\XML\20230310\PUBLIC_GOLD\PUBLIC_GOLD_20230310_Cube Derived Data-00001.xml
Information;Curve Override Rules;;;;Category. No data found;D:\Data\Interfaces\TimeScape Configuration\Migration Tools\Data and Templates\XML\20230310\PUBLIC_GOLD\PUBLIC_GOLD_20230310_Curve Override Rules-00001.xml
Information;Instrument Override Rules;;;;Category. No data found;D:\Data\Interfaces\TimeScape Configuration\Migration Tools\Data and Templates\XML\20230310\PUBLIC_GOLD\PUBLIC_GOLD_20230310_Instrument Override Rules-00001.xml
Information;Surface Validation;;;;Category. No data found;D:\Data\Interfaces\TimeScape Configuration\Migration Tools\Data and Templates\XML\20230310\PUBLIC_GOLD\PUBLIC_GOLD_20230310_Surface Validation-00001.xml
Information;Surface Validation Shared;;;;Category. No data found;D:\Data\Interfaces\TimeScape Configuration\Migration Tools\Data and Templates\XML\20230310\PUBLIC_GOLD\PUBLIC_GOLD_20230310_Surface Validation Shared-00001.xml
Information;Surface Derived Data;;;;Category. No data found;D:\Data\Interfaces\TimeScape Configuration\Migration Tools\Data and Templates\XML\20230310\PUBLIC_GOLD\PUBLIC_GOLD_20230310_Surface Derived Data-00001.xml
Information;Surface Override Rules;;;;Category. No data found;D:\Data\Interfaces\TimeScape Configuration\Migration Tools\Data and Templates\XML\20230310\PUBLIC_GOLD\PUBLIC_GOLD_20230310_Surface Override Rules-00001.xml
Information;Instrument Validation Shared;;;;Category. No data found;D:\Data\Interfaces\TimeScape Configuration\Migration Tools\Data and Templates\XML\20230310\PUBLIC_GOLD\PUBLIC_GOLD_20230310_Instrument Validation Shared-00001.xml
Information;;;;;
Export completed: 0 errors;
